1666190524,0,Ahmed Mohamed Mahmoud,1111111111111111,07/25,45000.000000,5000.000000
1666190617,1,Amr Zein Mohamed Ali,3333333333333333,03/27,-2000.000000,5000.000000
1666190682,2,Saly Mahmoud Zein Sayed,5555555555555555,05/28,49000.000000,1000.000000
1666262812,20/10/2022,5000.000000,0,8000.00,Ahmed Mohamed Mahmoud,1111111111111111,07/25
1666262861,20/10/2022,5000.000000,0,8000.00,Ahmed Mohamed Mahmoud,1111111111111111,07/25
1666263319,20/10/2022,5000.000000,0,8000.00,Ahmed Mohamed Mahmoud,1111111111111111,07/25
1666263378,20/10/2022,5000.000000,0,8000.00,Ahmed Mohamed Mahmoud,1111111111111111,07/25
1666263406,20/10/2022,5000.000000,0,8000.00,Ahmed Mohamed Mahmoud,1111111111111111,07/25
1666263461,20/10/2022,5000.000000,0,8000.00,Ahmed Mohamed Mahmoud,1111111111111111,07/25
1666263484,20/10/2022,5000.000000,0,8000.00,Ahmed Mohamed Mahmoud,1111111111111111,07/25
1666263520,20/10/2022,5000.000000,0,8000.00,Ahmed Mohamed Mahmoud,1111111111111111,07/25
1666263624,20/10/2022,5000.000000,0,8000.00,Ahmed Mohamed Mahmoud,1111111111111111,07/25
1666263704,20/10/2022,5000.000000,1,8000.00,Amr Zein Mohamed Ali,3333333333333333,03/27
1666263929,20/10/2022,1000.000000,2,8000.00,Saly Mahmoud Zein Sayed,5555555555555555,05/28
1666268763,20/10/2022,5000.000000,0,8000.00,Ahmed Mohamed Mahmoud,1111111111111111,07/25
